{'stock_code': '600562', 'initial_cash': 50000, 'final_value': 51174.0, 'return_rate': 2.3479999999999945, 'max_drawdown': 5.05, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '603799', 'initial_cash': 50000, 'final_value': 53416.0, 'return_rate': 6.831999999999994, 'max_drawdown': 0.0, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '301498', 'initial_cash': 50000, 'final_value': 56774.0, 'return_rate': 13.548000000000005, 'max_drawdown': 5.013960571960403, 'total_trades': 5, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600956', 'initial_cash': 50000, 'final_value': 47264.0, 'return_rate': -5.4719999999999995, 'max_drawdown': 5.668, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600031', 'initial_cash': 50000, 'final_value': 53579.0, 'return_rate': 7.157999999999998, 'max_drawdown': 0.04868549172346641, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '603156', 'initial_cash': 50000, 'final_value': 48451.99999999999, 'return_rate': -3.09600000000001, 'max_drawdown': 4.104000000000014, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601881', 'initial_cash': 50000, 'final_value': 52244.0, 'return_rate': 4.488000000000003, 'max_drawdown': 0.264, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600298', 'initial_cash': 50000, 'final_value': 49865.0, 'return_rate': -0.27000000000000357, 'max_drawdown': 2.033381511473657, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002085', 'initial_cash': 50000, 'final_value': 53260.0, 'return_rate': 6.5199999999999925, 'max_drawdown': 0.0, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002756', 'initial_cash': 50000, 'final_value': 53550.0, 'return_rate': 7.099999999999995, 'max_drawdown': 0.0, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601333', 'initial_cash': 50000, 'final_value': 52964.00000000001, 'return_rate': 5.928000000000022, 'max_drawdown': 1.1293845320987885, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601988', 'initial_cash': 50000, 'final_value': 49128.00000000001, 'return_rate': -1.74399999999999, 'max_drawdown': 6.901502823777161, 'total_trades': 6, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000723', 'initial_cash': 50000, 'final_value': 50489.0, 'return_rate': 0.97799999999999, 'max_drawdown': 1.5021752277648803, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '301236', 'initial_cash': 50000, 'final_value': 47916.0, 'return_rate': -4.168000000000005, 'max_drawdown': 4.652278177458034, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002670', 'initial_cash': 50000, 'final_value': 48583.0, 'return_rate': -2.834000000000003, 'max_drawdown': 2.97, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601799', 'initial_cash': 50000, 'final_value': 49892.0, 'return_rate': -0.21600000000000508, 'max_drawdown': 0.2519093126474469, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '301498', 'initial_cash': 50000, 'final_value': 56774.0, 'return_rate': 13.548000000000005, 'max_drawdown': 5.013960571960403, 'total_trades': 5, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '300373', 'initial_cash': 50000, 'final_value': 60833.00000000001, 'return_rate': 21.666000000000007, 'max_drawdown': 0.9946454917693086, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600584', 'initial_cash': 50000, 'final_value': 48502.00000000001, 'return_rate': -2.9959999999999876, 'max_drawdown': 3.4536297947727763, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601990', 'initial_cash': 50000, 'final_value': 52822.0, 'return_rate': 5.644000000000005, 'max_drawdown': 0.1, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '300919', 'initial_cash': 50000, 'final_value': 56684.0, 'return_rate': 13.368000000000002, 'max_drawdown': 4.10096772010557, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
